date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:16:27	484101/484101	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb767-76305%22	https://demo.dashboardpack.com/adminty-html/default/icon-font-awesome.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/icon-font-awesome.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:27	266827/266827	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb76d-4124b%22	https://demo.dashboardpack.com/adminty-html/default/icon-themify.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/icon-themify.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:28	157668/157668	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb76c-267e4%22	https://demo.dashboardpack.com/adminty-html/default/icon-simple-line.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/icon-simple-line.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:28	353957/353957	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb76d-566a5%22	https://demo.dashboardpack.com/adminty-html/default/icon-ion.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/icon-ion.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:29	410621/410621	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb76b-643fd%22	https://demo.dashboardpack.com/adminty-html/default/icon-material-design.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/icon-material-design.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:29	1205439/1205439	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb769-1264bf%22	https://demo.dashboardpack.com/adminty-html/default/icon-icofonts.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/icon-icofonts.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:30	450506/450506	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb76f-6dfca%22	https://demo.dashboardpack.com/adminty-html/default/icon-weather.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/icon-weather.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:30	224711/224711	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb772-36dc7%22	https://demo.dashboardpack.com/adminty-html/default/icon-typicons.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/icon-typicons.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:30	406212/406212	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb766-632c4%22	https://demo.dashboardpack.com/adminty-html/default/icon-flags.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/icon-flags.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:31	172712/172712	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb759-2a2a8%22	https://demo.dashboardpack.com/adminty-html/default/form-elements-component.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/form-elements-component.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:31	172285/172285	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb758-2a0fd%22	https://demo.dashboardpack.com/adminty-html/default/form-elements-add-on.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/form-elements-add-on.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:31	178708/178708	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb758-2ba14%22	https://demo.dashboardpack.com/adminty-html/default/form-elements-advance.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/form-elements-advance.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:32	141147/141147	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb75c-2275b%22	https://demo.dashboardpack.com/adminty-html/default/form-validation.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/form-validation.html	(from https://demo.dashboardpack.com/adminty-html/)
09:16:32	179143/179143	---MCZ	200	added ('OK')	text/html	etag:W/%225e9eb75b-2bbc7%22	https://demo.dashboardpack.com/adminty-html/default/form-picker.html	C:/My%20Web%20Sites/adminty2/demo.dashboardpack.com/adminty-html/default/form-picker.html	(from https://demo.dashboardpack.com/adminty-html/)
